repo,cloned,total_commits,earliest_todo_issue,pre_earliest_issue_commits
antvis/G2Plot,True,99,1573178087.0,0
antvis/G6,True,3206,1576030163.0,2106
antvis/Graphin,True,359,1573477052.0,4
antvis/L7,True,3611,1570726511.0,1146
antvis/X6,True,1301,1575479328.0,250
anuragsarkar97/design-questions,True,76,1573981684.0,1
apdallah/CogntiveTask,True,6,1582652414.0,0
apdallah/GithubRepos,True,1,1567094035.0,1
apdallah/MarvelCharctersKotlinMVVM,True,2,1566905110.0,1
apester-dev/ios-sdk,True,80,1569478949.0,47
Apol0x/react-video-search,True,20,1588440038.0,20
apolitical/frontend-partials,True,652,1547051846.0,522
ArcBlock/arcblock-android-sdk,True,162,1534729450.0,133
ArcBlock/arcblock-ios-sdk,True,336,1533718502.0,184
ArcBlock/ex-abci,True,26,1540237108.0,5
ArcBlock/ocap-javascript-sdk,True,363,1534584706.0,49
ArcBlock/ocap-rpc,True,58,1532674773.0,2
archangelstv/BEATZ,True,40,1588460262.0,12
archangelstv/OBS--STUDIO,True,37,1577327955.0,14
archangelstv/Prophecy-of-the-Archangels,True,263,1573415981.0,229
archangelstv/repository-templateArt,True,359,1564524113.0,16
arkangel-dev/BattleshipBot,True,11,1567604619.0,1
arkangel-dev/college-semester-1-project,True,8,1559900235.0,7
arkangel-dev/schedule_bot_mark_IV,True,130,1554802982.0,75
arkangel-dev/uwe-computer-science-year-1-assignment,True,47,1560845958.0,2
Armitage35/facebook-event-tracker,True,73,1580833212.0,6
Armitage35/fuzzy-roadmap,True,213,1566998242.0,33
Armitage35/portfolio,True,163,1569857410.0,19
arnested/dsupdate,True,95,1547373104.0,24
arnested/triagebot,True,135,1595014426.0,131
aros-development-team/AROS,True,44477,1558648737.0,43181
aros-development-team/contrib,True,13599,1572200500.0,13515
arunrajput1007/LinkedList,True,11,1559067343.0,7
Ashokrayal/NLP-with-Python,True,7,1556878755.0,5
Ashton-Sidhu/aethos,True,910,1561417273.0,8
AstrideUG/BedWars,True,44,1559383523.0,39
AstrideUG/Coupons,True,12,1561664921.0,11
AstrideUG/GunGame,True,367,1557897956.0,349
AstrideUG/Lootbox,True,29,1561459223.0,4
AstrideUG/MC-Data,True,14,1561272053.0,5
AstrideUG/SpaceCloud,True,19,1568750226.0,4
atomicpapa/hassconfig,True,243,1567562609.0,171
AugurProject/augur,True,42162,1565349819.0,31506
austinpray/kaori,True,277,1592106609.0,196
AutoSiliconeHoses/SMS,True,61,1567097679.0,35
ayatakesi/check-upstream-modifications,True,14,1546954507.0,11
ayik/todolistku,True,2,1590083649.0,2
azertui/BlastOnFire,True,294,1576096181.0,26
aztechian/bridgr,True,92,1562040110.0,30
Azukee/Eris,True,125,1583851167.0,55
baitun/ITSM,True,71,1543087802.0,51
baitun/VoteEX,True,112,1561829045.0,98
bakaphp/auth,True,133,1559539044.0,114
bakaphp/baka,True,265,1593996152.0,121
bakaphp/blameable,True,12,1557527530.0,4
bakaphp/canvas-core,True,1391,1555888969.0,3
bakaphp/canvas-sdk-php,True,208,1559248272.0,3
bakaphp/database,True,82,1557114637.0,51
bakaphp/documentation,True,4,1560294731.0,1
bakaphp/http,True,159,1581442888.0,159
bakaphp/kanvas-packages,True,242,1592576658.0,84
bakaphp/mail,True,59,1557482402.0,45
bakaphp/phalcon-api,True,1220,1552276857.0,740
bakaphp/phalcon-elasticsearch,True,58,1553046074.0,54
bakaphp/router,True,84,1560305636.0,59
Band900/flutter-build-android,True,2,1588821576.0,2
Band900/Flutter_ble_0.1,True,5,1584349856.0,2
Band900/node-jenkins-docker-cubernates,True,37,1590741085.0,26
BanterBoy/test-theme,True,6,1599402871.0,2
Bantr/API,True,27,1597611212.0,25
Bantr/Lib,True,133,1595604273.0,80
Bantr/Spawn,True,66,1595632600.0,56
baomidou/mybatis-plus,True,4322,1575203926.0,3449
baomidou/MybatisX,True,23,1573696980.0,23
baron-code-factory/typescript-work-space,True,317,1570988261.0,0
baronTommy/test,True,35,1570935499.0,26
Base24/base24,True,37,1585938630.0,18
Base24/Base24.github.io,True,20,1592415395.0,8
baskeboler/clj-facebook-data-dump,True,16,1575412264.0,1
baskeboler/rss-slurper,True,9,1587339953.0,1
batoners/Crosswalk,True,479,1549844861.0,151
baurt/dotfiles,True,44,1586807760.0,25
bendtherules/git-commands-i-forget,True,6,1561440941.0,2
bendtherules/github-delete-unused-repos,True,45,1528791766.0,16
bendtherules/react-fiber-traverse,True,162,1563877173.0,25
bendtherules/react-hooks-with-class,True,6,1546584097.0,6
Berkmann18/tvt-split,True,32,1563555757.0,9
Beyond-Engine/Beyond-Game-Engine,True,160,1570404851.0,112
Beyond-Engine/functions,True,39,1569154229.0,7
bhgomes/hexfarm,True,145,1554355450.0,140
binarymason/bashRPC,True,20,1563280379.0,1
bioinformatist/CrossSCC,True,56,1571039242.0,13
biosimulations/Biosimulations,True,2540,1571327168.0,227
biosimulations/Biosimulations_utils,True,184,1584738710.0,1
biosimulators/Biosimulators_COPASI,True,182,1577123950.0,18
biosimulators/Biosimulators_GillesPy2,True,9,1597855862.0,9
biosimulators/Biosimulators_VCell,True,7604,1582056044.0,7400
biotaphy/analyses,True,294,1574444186.0,292
biotaphy/BiotaPhyPy,True,383,1576266114.0,316
bitcodr/mediumJava,True,66,1562617223.0,11
bixlabs/authentication,True,175,1563833738.0,101
bixlabs/ios-demo,True,11,1573780790.0,5
bjerkio/stact,True,56,1570007487.0,33
bjerkio/vault-action,True,158,1583678975.0,27
BlasGlobalCode/Lebenslauf-Curiculum-Vitae-,True,3,1568004925.0,3
BlasGlobalCode/Pattern,True,2,1564030818.0,2
Blaud/EduJetPlayer,True,93,1558614588.0,69
blinkesport/gewaer-cms,True,132,1564794866.0,34
blinkesport/gewaer-cms-api,True,278,1563210677.0,13
bookspirit/SystemMonitor,True,2,1592020075.0,1
BosEriko/dotfiles,True,1382,1580599167.0,1051
BosEriko/history,True,91,1590282969.0,54
bpicode/fritzctl,True,968,1546475284.0,910
bqbs/my-foam,True,1,1593409070.0,1
breatheco-de/assets,True,1391,1544819508.0,676
breatheco-de/breathecode-cli,True,286,1568596603.0,136
breatheco-de/content,True,773,1575572656.0,580
breatheco-de/exercise-conditional-profile-card,True,30,1544718555.0,1
breatheco-de/exercise-data-model-previous-projects,True,11,1552498961.0,2
breatheco-de/exercise-todo-list-cli-python,True,9,1582650913.0,3
breatheco-de/projects,True,673,1554500696.0,448
breatheco-de/webpack-error-reporting-plugin,True,15,1557018625.0,2
brianhanifin/esphome-config,True,54,1580969800.0,45
bugflow/taiga-bugflow,True,20,1580946848.0,4
BullOak/BullOak.Repositories.EntityFramework,True,2,1553007258.0,1
BullOak/BullOak.Repositories.EventStore,True,9,1552985904.0,1
C-Fergus/C-Fergus.github.io,True,25,1579963312.0,16
caarlos0/domain_exporter,True,112,1546703839.0,63
caarlos0/env,True,217,1552167565.0,154
caarlos0/fork-cleaner,True,95,1526593524.0,58
caarlos0/github_releases_exporter,True,28,1527732357.0,10
caarlos0/homebrew-tap,True,322,1549976995.0,281
caarlos0/test-operator,True,7,1559182557.0,2
callumbooth/portfolio,True,105,1544114788.0,48
callumok2004/Projects,True,10,1591660433.0,5
carcarjg/aurduinodebug,True,19,1566577424.0,12
carcarjg/L1DRIVERINTERFACE,True,67,1570149764.0,23
carcarjg/OvermareControlSystem,True,96,1558727083.0,64
carcarjg/TX371-CP-CSharpProject,True,89,1598558375.0,89
cardholder/website,True,171,1557495649.0,4
CassandraSpruit/citrus-launcher,True,6,1574568932.0,6
CassandraSpruit/Vivi,True,301,1573681503.0,115
CassandraSpruit/Vivi-Typescript,True,187,1573681494.0,115
CassandraSpruit/Vulcan,True,49,1596166588.0,49
CassandraSpruit/Zephyr,True,58,1571707710.0,0
Cassiobsk8/Industrial_Renewal,True,724,1558377596.0,353
CatChen/traceurl-web,True,233,1568862734.0,12
cbrnrd/Kumo,True,72,1560882934.0,62
ccfp/github-issue-finder,True,96,1562593534.0,31
CCOSTAN/Home-AssistantConfig,True,1088,1590261018.0,876
cdaringe/rad,True,97,1587957530.0,54
cdock1029/waldon,True,80,1588449365.0,20
cdock1029/waldon-mdc,True,69,1547241394.0,57
cerebro-iiitv/cerebro-flutter,True,42,1545760102.0,32
cf-digital-ukraine/default-html-template,True,103,1564074454.0,98
cf-digital-ukraine/docs,True,37,1576613970.0,20
cfchenr/softboard,True,204,1576160479.0,202
charlie-wong/xmake,True,186,1588783952.0,184
chatbox-inc/chatbox2020,True,291,1596078598.0,233
chatbox-inc/guideline,True,3,1596887315.0,1
chdemko/c-test,True,148,1591097537.0,148
chdemko/py-part,True,116,1589223383.0,13
chenzeshenga/logistics-biu,True,680,1554223393.0,110
chi-plus-plus/chi-plus-plus,True,554,1584208255.0,336
chi-rei-den/Localizer,True,190,1563500379.0,16
chi-rei-den/ModBrowser,True,95,1577685153.0,53
chi-rei-den/Silverfish,True,26,1587506116.0,25
chrisbrake/anonymity,True,8,1566966260.0,4
chrisbrake/talk,True,3,1566879566.0,2
ChrisChinchilla/chrischinchilla.com,True,253,1581956004.0,183
ChrisChinchilla/One-Day-the-World-Ended-Generator,True,5,1552138992.0,3
christoph88/dotfiles,True,167,1592808212.0,162
ChristophWurst/weinstein_server,True,1231,1539197009.0,598
chunkychode/ChunkyConsole,True,9,1555533114.0,9
ciaranjudge/brassicate,True,34,1572904644.0,7
ciaranjudge/broccolicutter,True,193,1571865185.0,184
Ciphey/CipheyCore,True,103,1596657351.0,83
Ciphey/CipheyDocs,True,63,1593558800.0,3
cjlsuper/algo_c,True,18,1597763847.0,18
cjoshmartin/e-paper-calender,True,35,1579980633.0,6
cjoshmartin/Led-matrix-displayer,True,41,1557193621.0,11
cjoshmartin/mint-data-scraper,True,11,1577033934.0,3
climax/core,True,539,1554099128.0,465
codattle/codattle,True,128,1562697221.0,43
code-for-tb/tampa-adopt-a-drain,True,75,1582495796.0,3
codelab-ai/codelab.ai,True,89,1597735625.0,28
CodelyTV/csharp-finder_refactoring-kata,True,5,1552388024.0,3
CodelyTV/jetbrains-theme,True,62,1565952962.0,11
CodelyTV/php-ddd-skeleton,True,91,1565570133.0,32
coder3101/testcaser,True,301,1546331258.0,219
CoderAstrid/ATL-WTL,True,14,1591931973.0,2
CoderAstrid/django_tutorial,True,22,1591331553.0,13
coderkan/dynamo,True,5,1569936710.0,1
codesandtags/letxcode,True,20,1562898701.0,14
codetapacademy/codetap.academy,True,448,1563397101.0,50
codetapacademy/developer-connector-tm,True,23,1575998993.0,23
codetapacademy/remindly-with-react,True,2,1584363420.0,2
codex-team/hawk.api.nodejs,True,484,1561926559.0,180
codex-team/hawk.garage,True,1716,1567172812.0,932
codinggirl/sitecounterjs,True,2,1584444765.0,2
CoditEU/microservices-with-azure-api-management-webinar,True,23,1560760275.0,9
coelhojs/GeoJSONToCSV,True,3,1588108735.0,2
cohenjo/replicator,True,21,1554879663.0,4
cohenjo/waste,True,39,1550741112.0,25
condy0919/.emacs.d,True,848,1583422320.0,162
condy0919/bipolar,True,245,1565811946.0,1
condy0919/dpdk-rs,True,19,1562313898.0,10
condy0919/rua,True,15,1581686548.0,3
coolcode/tomato-clock,True,50,1584520464.0,46
cortex-lab/alyx-matlab,True,285,1572689715.0,276
cortex-lab/matlab-ci,True,29,1563957488.0,19
cortex-lab/Rigbox,True,868,1555061271.0,645
cosmicRover/scoped_model_flutter,True,2,1559188162.0,1
cozy/cozy-banks,True,7313,1562745346.0,5497
cozy-hosting/docs,True,44,1593419284.0,6
cp-tools/cpt,True,49,1596217277.0,36
cp-tools/cpt-lib,True,21,1593516346.0,2
cpannwitz/nestjs-example-starter,True,2,1583950295.0,1
CrabBucket/AngularGameProject,True,12,1572047654.0,5
craig-br/ans-tower-devsecops,True,512,1565946196.0,486
Craos/smart.supervisor,True,133,1596331428.0,97
crazyandcoder/awesome-flutter,True,11,1573461821.0,8
crazyandcoder/GithubForFlutter,True,2,1574133976.0,2
CrisisCleanup/crisiscleanup-3-web,True,2782,1583741840.0,724
CrispyBacon1999/nxgrid,True,105,1558727551.0,43
crowdanalyzer/framework-tester,True,1,1597218272.0,1
Csellers15/Android-Conversion-Calculator,True,17,1573065491.0,16
custom-cards/boilerplate-card,True,73,1572986018.0,33
custom-cards/flex-table-card,True,146,1583743195.0,100
custom-cards/spotify-card,True,127,1576657768.0,49
custom-cards/unused-card,True,9,1566273210.0,2
custom-components/alexa_media_player,True,807,1593247849.0,714
custom-components/grocy,True,124,1597853349.0,90
custom-components/weatheralerts,True,118,1592719662.0,96
Cyber-Defense-Legion/keyvo,True,11,1597670074.0,5
cybergroupdevs/BtB_HIREasy_BitsPlease,True,116,1574088825.0,25
czfadmin/YTheme,True,69,1574567110.0,69
dailykit/dailyos,True,1220,1587459597.0,3
dailykit/dailyos-backend,True,114,1597401132.0,87
dailykit/online-store,True,750,1590769914.0,198
dailykit/subscription-shop,True,153,1595243863.0,62
dale5872/Dissertation-Website,True,92,1579631131.0,38
dale5872/QueueConnect-Web,True,184,1564354485.0,22
dale5872/WheelyGoodBikesDatabaseInterface,True,70,1550076820.0,7
dale5872/WheelyGoodBikesManagementApp,True,137,1550077359.0,33
DalhousieSpaceSystemsLab/CubeSat-Camera-Interface,True,57,1548198796.0,27
DalhousieSpaceSystemsLab/CubeSat-GPS,True,28,1562632140.0,13
Dance-Engineer/Neo4jTracy,True,4,1575663448.0,2
DanielCender/CST-235,True,6,1594575709.0,4
DanielCender/CST-235-CLC,True,74,1595819633.0,40
DanielCender/CST-341-O500-CLC,True,77,1585445248.0,51
danielo515/curso-javascript-avanzado-elgc,True,24,1524468459.0,17
danielo515/ergodox-configurator,True,88,1544347177.0,33
danielo515/packages,True,150,1528056778.0,7
danielo515/pento-tech-challenge,True,112,1582490251.0,78
danielo515/reason-ls,True,32,1586474183.0,24
danilin-em/awml,True,155,1585580293.0,1
danilin-em/bt_player_control,True,55,1574327128.0,23
danilin-em/dotfiles,True,67,1590304634.0,59
danklut/aomcloudenterprise,True,1,1549989415.0,1
DannyvdSluijs/exact-online-api-client-dev-tools,True,100,1564085261.0,2
danth/axyn,True,123,1577725873.0,27
danth/scriic,True,93,1585231035.0,44
daptin/daptin,True,2116,1577695572.0,1407
davidsneighbour/booka-cli,True,60,1590929658.0,2
davidsneighbour/dnb-hugo-asylum,True,14,1594542203.0,12
davidsneighbour/dnb-hugo-shortcodes,True,21,1572363226.0,20
davidsneighbour/samui-samui.de,True,508,1559061818.0,219
DCjoe/demo-cloud,True,7,1579335718.0,1
ddionrails/collect_stata,True,33,1565098819.0,2
ddionrails/ddionrails,True,1478,1565689364.0,940
ddionrails/paneldata_pipeline,True,35,1567005225.0,1
DeflatedPickle/antlr-concurnas,True,9,1591113336.0,3
DeflatedPickle/BugMagic,True,95,1574474261.0,16
DeflatedPickle/ducknroll,True,17,1587248445.0,2
DeflatedPickle/Hanger-chan,True,18,1584399538.0,9
DeflatedPickle/haruhi,True,18,1596030767.0,4
DeflatedPickle/HeartDrops,True,83,1586536288.0,71
DeflatedPickle/intellij-concurnas,True,11,1591051616.0,5
DeflatedPickle/marvin,True,3,1596140349.0,3
DeflatedPickle/NeoTextureEdit,True,96,1585354956.0,96
DeflatedPickle/Quiver,True,19,1596344763.0,11
DeflatedPickle/Rawky,True,31,1583142073.0,1
DeflatedPickle/tosuto,True,35,1592450042.0,2
DeflatedPickle/vuq,True,13,1585084891.0,9
DeflatedPickle/Yohane,True,9,1577755750.0,9
demetoir/expressionCloud,True,730,1593003992.0,186
dentkachuk/learn-react,True,33,1598042766.0,2
denzuko/fund.majordomo.crm,True,20,1580536918.0,20
deshi-dw/FRC5725Robot2020,True,71,1583990105.0,71
DesktopGooseUnofficial/launcher,True,256,1582058654.0,12
development-plate/lab-bash,True,12,1568147482.0,3
development-plate/lab-spring,True,18,1566497959.0,1
devopsdays/devopsdays-cli,True,535,1507218451.0,374
diatomicDisaster/ExGoMol,True,25,1593430126.0,6
DidoMarchet/utils-dido-streaming,True,7,1549980451.0,2
digitalcolony/axios-github-helper,True,2,1525052155.0,1
digitalcolony/coffeeclub.app,True,81,1529619735.0,36
digitalcolony/duolingo-fluency-google-chart,True,9,1507846180.0,5
digitalcolony/michaelallensmith.com,True,22,1523406860.0,1
digitalcolony/neil-rogers-svelte,True,24,1592161414.0,6
digitalcolony/node-chat-app,True,19,1520713731.0,11
digitalcolony/scrape-meetup,True,21,1572394758.0,5
digitalcolony/yeti-weather,True,20,1518379919.0,5
discordextremelist/api,True,38,1592473647.0,12
discordextremelist/website,True,433,1593236975.0,131
displaysJS/displaysJS,True,16,1508609974.0,16
divinerapier/douyu,True,12,1566003667.0,9
divinerapier/example-rs,True,41,1565648739.0,11
divinerapier/exercism-rs,True,3,1581073003.0,1
divinerapier/hugo-blog,True,6,1566771626.0,6
divinerapier/notes,True,233,1566810525.0,18
divinerapier/rand,True,6,1567742558.0,2
divinerapier/weaver,True,77,1564727968.0,1
docToolchain/docs-as-co.de,True,172,1548966989.0,119
dolphin836/Page,True,34,1569824364.0,6
dorelljames/deno-todoapi,True,11,1591499299.0,1
dorelljames/wpreactandbeyond-productcatalog,True,14,1572922887.0,10
dothq/browser,True,1356,1563995035.0,321
dothq/core-legacy,True,3,1595282482.0,0
draveness/proxier,True,129,1554718495.0,62
DreamMer2408/Askingshop,True,16,1562383907.0,1
DreamMer2408/happyMall,True,2,1565285380.0,2
drupal-switzerland/drupal-ch,True,271,1569166996.0,34
dstrants/with_coffee,True,2,1586707981.0,2
DU-Scholar/github_tutorial,True,17,1587785358.0,6
DU-Scholar/Scholar-official-Page,True,218,1590891219.0,92
duncdrum/sqlizer,True,1,1591196885.0,1
DustRaven/Listard,True,21,1585645169.0,12
duyet/blog.duyet.net,True,1348,1565077076.0,734
duyet/firebase-shorten-url,True,601,1568826660.0,53
duyet/pricetrack,True,786,1550891165.0,125
duyet/spark-docker,True,13,1591866771.0,13
dwburke/mockapi,True,29,1549218043.0,2
dykang/xslue,True,15,1573297912.0,5
dylanpinn/dotfiles,True,597,1523358444.0,233
dylanpinn/FIT3036-backend,True,38,1525697502.0,15
dylanpinn/FIT3036-frontend,True,126,1526640866.0,65
dylanpinn/FIT3036-project-documentation,True,158,1521631588.0,6
dylanpinn/MAT1830,True,834,1520257925.0,106
Dysoch/DyWorld,True,676,1563110996.0,317
dyt811/PyCharmSettings,True,152,1593393019.0,3
EagleoutIce/LILLY,True,401,1555788630.0,9
earthstrider/earthstrider.github.io,True,91,1567563329.0,81
ECCIUCRLQ/sensores-gisso,True,118,1575428811.0,91
ECCIUCRLQ/sensores-poffis,True,51,1574354439.0,45
ECCIUCRLQ/sensores-whitenoise,True,67,1572044037.0,66
eclipse/che,True,8788,1543852061.0,7329
eduardoUrbinaDev/CRUD-NodeJS,True,7,1586966032.0,6
educodar/web,True,763,1583899812.0,521
Eeems/oxide,True,109,1599023682.0,95
Eeems/oxidize,True,86,1569389227.0,61
effortless-mgmt/EffortlessBackend,True,162,1542584446.0,90
effortless-mgmt/ems_app,True,49,1541028973.0,21
effortless-mgmt/ems_webapp,True,43,1551970189.0,43
eiko-team/eiko,True,388,1571658122.0,249
eiko-team/eiko-import,True,29,1573647066.0,10
EINDEX/leetcode-spider-go,True,25,1556340616.0,0
einhyrningen/n4f-no,True,90,1571422968.0,90
elbraulio/ezload,True,168,1552316813.0,20
elCapitano409/glove-img,True,40,1558102298.0,11
elCapitano409/WASP_demo,True,3,1597522325.0,2
elreydetoda/docker-bashfuscator,True,6,1558999378.0,0
ember-intl/decorators,True,420,1543506762.0,131
ember-intl/ember-intl,True,1895,1585177841.0,1600
emiflake/Eml,True,22,1580751415.0,14
emiflake/LiteRace,True,7,1569594619.0,5
emiflake/PureAdventure,True,28,1576249557.0,7
emiflake/RT,True,89,1572633006.0,14
emiflake/RTv1,True,22,1569258016.0,9
emiflake/thinking-with-types,True,9,1579264972.0,7
emilpriver/Nextjs-portfolio-website,True,191,1580295421.0,75
emmaunel/Agape,True,22,1564938269.0,1
emmaunel/Android2Python,True,6,1558319877.0,6
emmaunel/CaptainHook,True,34,1568767935.0,10
emmaunel/DiscordGo,True,19,1587947815.0,3
emmaunel/learnXinYminutes,True,6,1559090415.0,1
emmaunel/mopidy_ritsec,True,23,1557629958.0,5
emmaunel/Promptr,True,45,1554509004.0,44
emmaunel/ProxyScraper,True,11,1584326139.0,11
emmaunel/rootkit,True,17,1560701928.0,1
emmaunel/Rootkits,True,9,1577076743.0,8
emsec/hal,True,1621,1560517689.0,167
enzomasson25/Info641POO,True,5,1584092792.0,3
EosBandi/OSDeluxe,True,97,1566690729.0,93
EosBandi/RacPluginTensionerStat,True,11,1581894758.0,3
ErichDonGubler/overcomplicated-echo-server-rs,True,15,1550268798.0,1
erichdongubler-dotfiles/vim,True,167,1595869959.0,164
Ernix94/portfolio,True,3,1586186010.0,1
errata-ai/errata.ai,True,111,1556746812.0,44
errata-ai/markdata,True,36,1550172262.0,17
errata-ai/Microsoft,True,111,1549395984.0,16
eSkry/TMXL,True,287,1563470854.0,200
etchteam/longform,True,39,1539031315.0,31
etchteam/slack-status-sender,True,25,1525894703.0,0
EVNotify/AuthorizationService,True,46,1590840609.0,28
EVNotify/EVNotify,True,592,1589288866.0,584
EVNotify/LogService,True,6,1589668561.0,2
EVNotify/NotificationService,True,11,1597186960.0,6
EVNotify/PnP-Updater,True,47,1581278231.0,1
EVNotify/SyncService,True,11,1586561681.0,2
